 namefirst , namelast  , birthday , birthmonth , birthyear , weight , height 
 Starlin   , Castro    ,24,3,1990,190,72.8
 Madison   , Bumgarner ,1,8,1989,215,76.0
 Jason     , Heyward   ,9,8,1989,240,77.3
 Ruben     , Tejada    ,27,10,1989,160,71.2
 Jenrry    , Mejia     ,11,10,1989,160,72.5
 Mike      , Stanton   ,8,11,1989,235,77.9
 Dayan     , Viciedo   ,10,3,1989,240,71.1
 Chris     , Sale      ,30,3,1989,170,77.2
 Freddie   , Freeman   ,12,9,1989,225,77.7
 Clayton   , Kershaw   ,19,3,1988,225,75.4
 Travis    , Snider    ,2,2,1988,235,72.0
 Elvis     , Andrus    ,26,8,1988,200,72.0
 Trevor    , Cahill    ,1,3,1988,220,76.0
 Rick      , Porcello  ,27,12,1988,200,77.0
 Brett     , Anderson  ,1,2,1988,235,76.5
 Fernando  , Martinez  ,10,10,1988,200,73.0
 Jhoulys   , Chacin    ,7,1,1988,215,75.2
 Chris     , Tillman   ,15,4,1988,200,77.8
 Neftali   , Feliz     ,2,5,1988,215,75.5
 Craig     , Kimbrel   ,28,5,1988,205,71.6
